Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,0,982,1,1,4,2,4,1,58,2,1,2,3,0,2258,16340,6,0,12,3,2,1,10,2,3,8,0,1,7
54,0,685,2,3,3,0,4,1,85,3,4,3,4,0,17779,23474,3,0,14,3,1,0,36,2,3,10,9,0,9
50,0,797,2,4,1,0,1,1,96,3,5,1,2,1,19144,15815,3,0,14,3,1,2,28,4,2,10,4,1,6
55,0,836,2,2,4,1,2,1,98,2,1,1,4,0,2662,7975,8,0,20,4,2,1,19,2,4,5,2,0,4
42,0,188,1,29,3,2,2,1,56,1,2,2,4,2,4272,9558,4,0,19,3,1,0,16,3,3,1,0,0,0
28,2,1476,2,1,3,0,3,0,55,1,2,2,4,0,6674,16392,0,0,11,3,1,3,10,6,3,9,8,7,5
38,1,1186,1,3,4,4,3,1,44,3,1,2,3,0,2821,2997,3,0,16,3,1,1,8,2,3,2,2,2,2
55,2,444,2,2,1,2,3,1,40,2,4,1,1,2,16756,17323,7,0,15,3,2,0,31,3,4,9,7,6,2
19,0,419,0,21,3,4,4,1,37,2,1,1,2,2,2121,9947,1,1,13,3,2,0,1,3,4,1,0,0,0
37,2,142,0,9,4,2,1,1,69,3,3,2,2,1,8834,24666,1,0,13,3,4,1,9,6,3,9,5,7,7
31,0,1062,1,24,3,2,3,0,96,2,2,2,1,2,6812,17198,1,0,19,3,2,0,10,2,3,10,9,1,8
46,2,1144,1,7,4,2,3,0,30,3,2,3,3,0,5258,16044,2,0,14,3,3,0,7,2,4,1,0,0,0
59,0,1435,0,25,3,0,1,0,99,3,3,2,1,2,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9
32,2,1146,2,15,4,2,3,0,34,3,2,2,4,1,6667,16542,5,0,18,3,2,1,9,6,3,5,1,1,2
29,1,337,1,14,1,4,3,0,84,3,3,2,4,2,7553,22930,0,1,12,3,1,0,9,1,3,8,7,7,7
36,0,1120,0,11,4,3,2,0,100,2,2,2,4,0,6652,14369,4,0,13,3,1,1,8,2,2,6,3,0,0
38,1,1444,2,1,4,4,4,1,88,3,1,1,2,0,2991,5224,0,1,11,3,2,1,7,2,3,6,2,1,2
31,0,1079,0,16,4,3,1,1,70,3,3,2,3,0,8161,19002,2,0,13,3,1,3,10,2,3,1,0,0,0
26,0,1146,0,8,3,1,4,1,38,2,2,2,1,2,5326,3064,6,0,17,3,3,0,6,2,2,4,3,1,2
28,2,1476,1,1,3,0,3,0,55,1,2,2,4,0,6674,16392,0,0,11,3,1,3,10,6,3,9,8,7,5
39,0,1498,0,21,4,0,1,1,44,2,2,2,4,0,6120,3567,3,1,12,3,4,2,8,2,4,5,4,1,4
36,1,566,1,18,4,0,3,1,81,4,1,2,4,0,3688,7122,4,0,18,3,4,2,4,2,3,1,0,0,0
30,0,1138,1,6,3,1,1,0,48,2,2,2,4,0,4627,23631,0,0,12,3,1,1,10,6,3,9,2,6,7
30,0,413,0,7,1,3,4,1,57,3,1,1,2,2,2983,18398,0,0,14,3,1,0,4,3,3,3,2,1,2
32,0,267,2,29,4,0,3,0,49,2,1,2,2,2,2837,15919,1,0,13,3,3,0,6,3,3,6,2,4,1
36,0,928,0,1,2,0,2,1,56,3,2,2,4,0,6201,2823,1,1,14,3,4,1,18,1,2,18,14,4,11
36,1,607,0,7,3,3,1,0,83,4,2,3,1,0,4639,2261,2,0,16,3,4,1,17,2,2,15,7,6,13
38,0,1035,0,3,4,0,2,1,42,3,2,2,4,2,6861,4981,8,1,12,3,3,0,19,1,3,1,0,0,0
30,0,911,2,1,2,2,4,1,76,3,1,2,2,0,3748,4077,1,0,13,3,3,0,12,6,2,12,8,1,7
34,1,135,1,19,3,2,3,0,46,3,2,2,2,1,4444,22534,4,0,13,3,3,2,15,2,4,11,8,5,10
24,0,1448,0,1,1,1,1,0,62,3,1,1,2,2,3202,21972,1,1,16,3,2,0,6,4,3,5,3,1,4
31,1,715,0,2,4,4,4,1,54,3,2,2,1,2,5332,21602,7,0,13,3,4,0,10,3,3,5,2,0,3
46,0,1485,1,18,3,2,3,0,87,3,2,3,3,1,4810,26314,2,0,14,3,3,1,19,5,2,10,7,0,8
52,0,1325,1,11,4,0,4,0,82,3,2,2,3,0,3149,21821,8,0,20,4,2,1,9,3,3,5,2,1,4
34,0,1153,2,1,2,2,1,1,94,3,2,3,2,0,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3
51,1,1456,1,1,4,2,1,0,30,2,3,2,1,2,7484,25796,3,0,20,4,3,0,23,1,2,13,12,12,8
40,0,300,0,26,3,3,3,1,74,3,2,2,1,0,8396,22217,1,0,14,3,2,1,8,3,2,7,7,7,5
37,0,397,2,7,4,2,1,1,30,3,3,1,3,2,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2
43,1,559,1,10,4,0,3,0,82,2,2,2,3,1,5257,6227,1,0,11,3,2,1,9,3,4,9,7,0,0
33,0,654,1,5,3,0,4,1,34,2,3,2,4,1,7119,21214,4,0,15,3,3,1,9,2,3,3,2,1,2
52,2,715,1,19,4,2,4,1,41,3,1,2,4,0,4258,26589,0,0,18,3,1,1,5,3,3,4,3,1,2
42,0,469,2,2,2,2,4,1,35,3,4,1,1,0,17665,14399,0,0,17,3,4,1,23,3,3,22,6,13,7
32,1,585,1,10,3,0,1,1,56,3,1,2,3,0,3433,17360,6,0,13,3,1,1,10,3,2,5,2,1,3
30,0,1176,1,20,3,4,3,1,85,3,2,3,1,0,9957,9096,0,0,15,3,3,1,7,1,2,6,2,0,2
36,0,1218,0,9,4,0,3,1,82,2,1,1,1,2,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3
49,0,465,1,6,1,0,3,0,41,2,4,1,3,0,13966,11652,2,1,19,3,2,1,30,3,3,15,11,2,12
58,2,350,0,2,3,2,2,1,52,3,4,0,2,1,16291,22577,4,0,22,4,4,1,37,0,2,16,9,14,14
33,0,589,1,28,4,0,2,1,79,3,2,2,3,0,5207,22949,1,1,12,3,2,1,15,3,3,15,14,5,7
22,0,1294,1,8,1,2,3,0,79,3,1,2,1,0,2398,15999,1,1,17,3,3,0,1,6,3,1,0,0,0
40,0,898,2,6,2,2,3,1,38,3,4,0,4,2,16437,17381,1,1,21,4,4,0,21,2,3,21,7,7,7
43,2,1344,1,7,3,2,4,1,37,4,1,1,4,1,2089,5228,4,0,14,3,4,3,7,3,4,5,4,2,2
45,0,1449,0,2,3,3,1,0,94,1,5,0,2,2,18824,2493,2,1,16,3,1,0,26,2,3,24,10,1,11
39,0,524,1,18,2,0,1,1,32,3,2,3,3,2,4534,13352,0,0,11,3,1,0,9,6,3,8,7,1,7
26,0,991,1,6,3,0,3,0,71,3,1,2,4,0,2659,17759,1,1,13,3,3,1,3,2,3,3,2,0,2
34,0,1111,0,8,2,0,3,0,93,3,2,2,1,0,6500,13305,5,0,17,3,2,1,6,1,3,3,2,1,2
37,1,1231,0,21,2,2,3,0,54,3,1,1,4,0,2973,21222,5,0,15,3,2,1,10,3,3,5,4,0,0
33,0,813,1,14,3,2,3,1,58,3,1,2,4,0,2436,22149,5,1,13,3,3,1,8,2,1,5,4,0,4
29,0,1010,1,1,3,0,1,0,97,3,1,1,4,1,3760,5598,1,0,15,3,1,3,3,5,3,3,2,1,2
22,0,617,2,3,1,0,2,0,34,3,2,3,3,0,4171,10022,0,1,19,3,1,1,4,3,4,3,2,0,2
49,0,464,1,16,3,2,4,0,74,3,1,2,1,1,2587,24941,4,1,16,3,2,1,17,2,2,2,2,2,2
40,0,898,2,6,2,2,3,1,38,3,4,0,4,2,16437,17381,1,1,21,4,4,0,21,2,3,21,7,7,7
34,0,304,0,2,3,4,4,1,60,3,2,2,4,2,6274,18686,1,0,22,4,3,0,6,5,3,6,5,1,4
41,0,1276,0,2,5,0,2,0,91,3,4,0,1,0,16595,5626,7,0,16,3,2,1,22,2,3,18,16,11,8
42,0,635,0,1,1,0,2,1,99,3,2,2,3,0,4907,24532,1,0,25,4,3,0,20,3,3,20,16,11,6
34,0,699,1,6,1,2,2,1,83,3,1,1,1,2,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3
30,1,448,0,12,4,0,2,1,74,2,1,1,1,0,2033,14470,1,0,18,3,3,1,1,2,4,1,0,0,0
36,0,922,1,3,2,0,1,0,39,3,1,2,4,1,2835,2561,5,0,22,4,1,1,7,2,3,1,0,0,0
27,0,1354,2,2,4,1,2,1,41,3,1,1,2,0,2226,6073,1,0,11,3,3,1,6,3,2,5,3,1,2
35,1,138,1,2,3,2,2,0,37,3,2,2,2,2,4425,15986,5,0,11,3,4,0,10,5,3,6,2,1,2
31,0,1222,1,11,4,0,4,1,48,3,1,2,4,0,2356,14871,3,1,19,3,2,1,8,2,3,6,4,0,2
34,0,182,1,1,4,0,2,0,72,4,1,1,4,2,3280,13551,2,0,16,3,3,0,10,2,3,4,2,1,3
30,0,1465,1,1,3,2,4,1,63,3,1,1,2,0,3579,9369,0,1,21,4,1,1,12,2,3,11,9,5,7
36,0,1383,1,10,3,0,4,1,90,3,3,2,1,0,8321,25949,7,1,13,3,4,1,15,1,3,12,8,5,7
44,0,1199,2,4,2,0,3,1,92,4,5,1,1,1,19190,17477,1,0,14,3,4,2,26,4,2,25,9,14,13
35,2,1225,1,2,4,0,4,0,61,3,2,2,1,1,5093,4761,2,0,11,3,1,1,16,2,4,1,0,0,0
32,0,588,0,8,2,1,3,0,65,2,2,2,2,0,5228,24624,1,1,11,3,4,0,13,2,3,13,12,11,9
38,1,594,2,2,2,2,3,0,75,2,1,2,2,0,2468,15963,4,0,14,3,2,1,9,4,2,6,1,0,5
31,0,154,0,7,4,0,2,1,41,2,1,1,3,0,2329,11737,3,0,15,3,2,0,13,2,4,7,7,5,2
23,0,977,1,10,3,1,4,1,45,4,1,2,3,0,2073,12826,2,0,16,3,4,1,4,2,3,2,2,2,2
35,0,144,2,22,3,0,4,1,46,1,1,2,3,2,4230,19225,0,0,15,3,3,0,6,2,3,5,4,4,3
39,1,203,1,2,3,0,1,1,84,3,4,2,4,1,12169,13547,7,0,11,3,4,3,21,4,3,18,7,11,5
31,0,311,2,20,3,0,2,1,89,3,2,2,3,1,4197,18624,1,0,11,3,1,1,10,2,3,10,8,0,2
29,1,115,0,13,3,1,1,0,51,3,2,2,2,2,5765,17485,5,0,11,3,1,0,7,4,1,5,3,0,0
35,0,1029,1,16,3,0,4,0,91,2,3,2,2,2,8606,21195,1,0,19,3,4,0,11,3,1,11,8,3,3
46,0,488,0,2,3,1,3,0,75,1,4,0,2,0,16872,14977,3,1,12,3,2,1,28,2,2,7,7,7,7
37,0,674,1,13,3,2,1,1,47,3,2,1,4,0,4285,3031,1,0,17,3,1,0,10,2,3,10,8,3,7
36,1,469,1,3,3,1,3,1,46,3,1,1,2,0,3692,9256,1,0,12,3,3,0,12,2,2,11,10,0,7
37,0,921,1,10,3,2,3,0,98,3,1,2,1,0,3452,17663,6,0,20,4,2,1,17,3,3,5,4,0,3
48,0,1221,0,7,3,3,3,1,96,3,2,2,1,1,5486,24795,4,0,11,3,1,3,15,3,3,2,2,2,2
40,0,1492,1,20,4,1,1,1,61,3,3,2,4,0,10322,26542,4,0,20,4,4,1,14,6,3,11,10,11,1
32,1,238,2,5,2,0,1,0,47,4,1,1,3,2,2432,15318,3,1,14,3,1,0,8,2,3,4,1,0,3
59,0,1089,0,1,2,1,2,1,66,3,3,0,4,0,11904,11038,3,1,14,3,3,1,14,1,1,6,4,0,4
33,0,118,0,16,3,3,1,0,69,3,2,2,1,2,5324,26507,5,0,15,3,3,0,6,3,3,3,2,0,2
28,0,857,1,10,3,4,3,0,59,3,2,1,3,2,3660,7909,3,0,13,3,4,0,10,4,4,8,7,1,7
59,0,1429,1,18,4,2,4,1,67,3,3,3,4,2,10512,20002,6,0,12,3,4,0,25,6,2,9,7,5,4
42,0,1210,1,2,3,2,3,1,68,2,1,2,2,0,4841,24052,4,0,14,3,2,1,4,3,3,1,0,0,0
29,1,442,0,2,2,0,2,1,44,3,2,2,4,2,4554,20260,1,0,18,3,1,0,10,3,2,10,7,0,9
41,0,334,0,2,4,0,4,1,88,3,4,0,2,2,16015,15896,1,0,19,3,2,0,22,2,3,22,10,0,4
42,1,288,1,2,3,0,4,1,40,3,3,1,4,0,10124,18611,2,1,14,3,3,1,24,3,1,20,8,13,9
29,0,942,1,15,1,0,2,0,69,1,1,1,4,0,2168,26933,0,1,18,3,1,1,6,2,2,5,4,1,3
46,0,1009,1,2,3,0,1,1,51,3,4,0,3,0,17861,2288,6,0,13,3,3,0,26,2,1,3,2,0,1
39,0,1329,0,4,4,0,4,0,47,2,2,2,3,0,5902,14590,4,0,14,3,3,1,17,1,4,15,11,5,9
35,0,660,0,7,1,0,4,1,76,3,1,1,3,0,2404,16192,1,0,13,3,1,1,1,3,3,1,0,0,0
26,1,1479,2,1,3,0,3,0,84,3,2,3,2,1,6397,26767,1,0,20,4,1,1,6,6,1,6,5,1,4
34,0,216,0,1,4,3,2,1,75,4,2,2,4,1,9725,12278,0,0,11,3,4,1,16,2,2,15,1,0,9
18,1,1306,0,5,3,3,2,1,69,3,1,1,2,2,1878,8059,1,1,14,3,4,0,0,3,3,0,0,0,0
38,0,1009,0,2,2,0,2,0,31,3,2,2,1,1,6893,19461,3,0,15,3,4,1,11,3,3,7,7,1,7
37,0,1372,1,1,3,0,4,0,42,3,1,1,4,2,2115,15881,1,0,12,3,2,0,17,3,3,17,12,5,7
29,0,144,0,10,1,3,4,0,39,2,2,2,2,1,8268,11866,1,1,14,3,1,2,7,2,3,7,7,1,7
30,0,138,1,22,3,0,1,0,48,3,1,1,3,0,2132,11539,4,1,11,3,2,0,7,2,3,5,2,0,1
31,1,307,1,29,2,2,3,1,71,2,1,2,2,2,3479,11652,0,0,11,3,2,0,6,2,4,5,4,1,4
24,0,506,1,29,1,2,2,1,91,3,1,2,1,1,3907,3622,1,0,13,3,2,3,6,2,4,6,2,1,2
30,0,852,0,10,3,3,3,1,72,2,2,2,3,0,6578,2706,1,0,18,3,1,1,10,3,3,10,3,1,4
34,1,234,2,9,4,0,4,1,93,3,2,2,1,0,5346,6208,4,0,17,3,3,1,11,3,2,7,1,0,7
38,0,833,1,18,3,2,2,1,60,1,2,2,4,0,5811,24539,3,1,16,3,3,1,15,2,3,1,0,1,0
36,0,938,1,2,4,2,3,1,79,3,1,2,3,2,2519,12287,4,0,21,4,3,0,16,6,3,11,8,3,9
18,2,247,1,8,1,2,3,1,80,3,1,2,3,2,1904,13556,1,0,12,3,4,0,0,0,3,0,0,0,0
30,0,125,1,9,2,2,4,1,83,2,1,2,3,2,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8
26,0,157,2,1,3,2,3,1,95,3,1,2,1,2,2867,20006,0,0,13,3,4,0,8,6,2,7,7,7,6
47,1,217,0,3,3,2,4,0,49,3,4,2,3,1,13770,10225,9,1,12,3,4,2,28,2,2,22,2,11,13
56,2,667,2,1,4,0,3,1,57,3,2,2,3,1,6306,26236,1,0,21,4,1,1,13,2,2,13,12,1,9
44,2,381,1,24,3,2,1,1,49,1,1,2,3,2,3708,2104,2,0,14,3,3,0,9,5,3,5,2,1,4
29,0,408,1,25,5,1,3,0,71,2,1,1,2,0,2546,18300,5,0,16,3,2,0,6,2,4,2,2,1,1
41,0,167,1,12,4,0,2,1,46,3,1,2,4,0,4766,9051,3,1,11,3,1,1,6,4,3,1,0,0,0
24,0,823,1,17,2,4,4,1,94,2,1,2,2,0,2127,9100,1,0,21,4,4,1,1,2,3,1,0,0,0
27,1,829,0,8,1,3,3,1,84,3,2,3,4,0,4342,24008,0,0,19,3,2,1,5,3,3,4,2,1,1
32,1,1318,0,10,4,3,4,1,79,3,2,2,4,2,4648,26075,8,0,13,3,3,0,4,2,4,0,0,0,0
28,0,950,2,3,3,2,4,0,93,3,3,3,2,1,7655,8039,0,0,17,3,2,3,10,3,2,9,7,1,7
29,1,461,1,1,3,0,4,1,70,4,2,2,3,2,6294,23060,8,1,12,3,4,0,10,5,4,3,2,0,2
51,1,541,0,2,3,3,2,1,52,3,3,2,2,0,10596,15395,2,0,11,3,2,0,14,5,3,4,2,3,2
41,0,1206,0,23,2,0,4,1,80,3,3,2,3,2,7082,11591,3,1,16,3,4,0,21,2,3,2,0,0,2
40,0,1194,2,1,3,0,3,0,52,3,2,2,4,1,6513,9060,4,0,17,3,4,1,12,3,3,5,3,0,3
37,0,408,1,19,2,0,2,1,73,3,1,1,2,0,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0
41,1,1200,1,22,3,0,4,0,75,3,2,1,4,1,5467,13953,3,1,14,3,1,2,12,4,2,6,2,3,3
30,2,1116,1,2,3,2,3,0,49,3,1,2,4,2,2564,7181,0,0,14,3,3,0,12,2,2,11,7,6,7
35,0,287,2,1,4,0,3,0,62,1,1,1,4,0,2977,8952,1,0,12,3,4,1,4,5,3,4,3,1,1
39,2,105,2,9,3,0,4,1,87,3,5,0,4,2,19431,15302,2,0,13,3,3,0,21,3,2,6,0,1,3
36,0,1040,1,3,2,0,4,1,79,4,2,2,1,1,6842,26308,6,0,20,4,1,1,13,3,3,5,4,0,4
55,0,1136,1,1,4,2,2,1,81,4,4,0,4,1,14732,12414,2,0,13,3,4,2,31,4,4,7,7,0,0
29,0,224,1,1,4,1,1,1,100,2,1,1,1,2,2362,7568,6,0,13,3,3,0,11,2,1,9,7,0,7
31,0,746,0,8,4,0,3,0,61,3,2,3,4,2,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8
48,0,817,0,2,1,3,2,1,56,4,2,3,2,0,8120,18597,3,0,12,3,4,0,12,3,3,2,2,2,2
36,0,506,1,3,3,1,3,1,30,3,2,1,2,2,4485,26285,4,0,12,3,4,0,10,2,3,8,0,7,7
49,0,1313,0,11,4,3,4,0,80,3,2,2,4,2,4507,8191,3,0,12,3,3,0,8,1,4,5,1,0,4
60,0,370,1,1,4,2,3,1,92,1,3,2,4,1,10883,20467,3,0,20,4,3,1,19,2,4,1,0,0,0
42,2,495,2,2,1,0,3,1,37,3,4,1,3,0,17861,26582,0,1,13,3,4,0,21,3,2,20,8,2,10
28,0,1475,0,13,2,3,4,0,84,3,2,2,3,2,9854,23352,3,1,11,3,4,0,6,0,3,2,0,2,2
40,2,458,1,16,2,0,3,1,74,3,1,1,3,1,3544,8532,9,0,16,3,2,1,6,0,3,4,2,0,0
34,0,1320,1,20,3,1,3,0,89,4,1,1,3,0,2585,21643,0,0,17,3,4,0,2,5,2,1,0,0,0
33,0,1099,1,4,4,2,1,0,82,2,1,2,2,0,3838,8192,8,0,11,3,4,0,8,5,3,5,4,0,2
33,1,1303,2,7,2,0,4,1,36,3,2,2,3,1,5968,18079,1,0,20,4,3,3,9,2,3,9,7,2,8
38,2,1336,2,2,3,5,1,1,100,3,1,1,2,1,2592,7129,5,0,13,3,4,3,13,3,3,11,10,3,8
32,0,601,0,7,5,3,4,1,97,3,2,2,4,0,9204,23343,4,0,12,3,3,1,7,3,2,4,3,0,3
27,0,975,1,7,3,2,4,0,55,2,2,1,1,2,6811,23398,8,0,19,3,1,0,9,2,1,7,6,0,7
26,1,342,1,2,3,0,1,1,57,3,1,1,1,0,2042,15346,6,1,14,3,2,1,6,2,3,3,2,1,2
58,1,781,1,2,1,0,4,1,57,2,1,2,4,1,2380,13384,9,1,14,3,4,1,3,3,2,1,0,0,0
20,0,654,0,21,3,3,3,1,43,4,1,1,4,2,2678,5050,1,0,17,3,4,0,2,2,3,2,1,2,2
51,0,833,1,1,3,0,3,1,96,3,1,1,4,0,2723,23231,1,0,11,3,2,0,1,0,2,1,0,0,0
33,0,832,1,5,4,0,3,0,63,2,1,1,4,0,2911,14776,1,0,13,3,3,1,2,2,2,2,2,0,2
42,0,269,1,2,3,2,4,0,56,2,1,2,1,1,2593,8007,0,1,11,3,3,1,10,4,3,9,6,7,8
24,0,1371,0,10,4,3,4,0,77,3,2,2,3,1,4260,5915,1,1,12,3,4,1,5,2,4,5,2,0,3
32,0,1373,0,5,4,0,4,1,56,2,2,3,4,2,9679,10138,8,0,24,4,2,0,8,1,3,1,0,0,0
46,2,1144,2,7,4,2,3,0,30,3,2,3,3,0,5258,16044,2,0,14,3,3,0,7,2,4,1,0,0,0
23,0,650,1,9,1,2,2,1,37,3,1,2,1,0,2500,4344,1,0,14,3,4,1,5,2,4,4,3,0,2
41,0,314,2,1,3,5,4,1,59,2,5,0,3,0,19189,19562,1,0,12,3,2,1,22,3,3,22,7,2,10
32,0,1018,1,2,4,2,1,0,74,4,2,1,4,2,5055,10557,7,0,16,3,3,0,10,0,2,7,7,0,7
31,0,182,1,8,5,0,1,0,93,3,4,0,2,2,16422,8847,3,0,11,3,3,0,9,3,4,3,2,1,0
39,0,119,0,15,4,3,2,1,77,3,4,2,1,2,13341,25098,0,0,12,3,1,0,21,3,3,20,8,11,10
23,0,1320,1,8,1,2,4,1,93,2,1,2,3,2,3989,20586,1,1,11,3,1,0,5,2,3,5,4,1,2
28,1,783,0,1,2,0,3,1,42,2,2,2,4,0,6834,19255,1,1,12,3,3,1,7,2,3,7,7,0,7
26,0,933,0,1,3,0,3,1,57,3,2,2,3,0,5296,20156,1,0,17,3,2,1,8,3,3,8,7,7,7
33,1,553,2,5,4,0,4,0,74,3,3,1,2,0,11878,23364,6,0,11,3,2,2,12,2,3,10,6,8,8
31,0,1079,0,10,2,2,3,0,86,3,2,2,4,1,6583,20115,2,1,11,3,4,1,8,2,3,5,2,1,4
29,0,1082,2,9,4,2,4,0,43,3,1,2,3,0,2974,25412,9,0,17,3,3,1,9,2,3,5,3,1,2
37,0,1373,1,2,2,4,4,1,92,2,1,2,3,2,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0
52,0,994,1,7,4,0,2,1,87,3,3,2,2,2,10445,15322,7,0,19,3,4,0,18,4,3,8,6,4,0
44,1,383,0,1,5,3,1,0,79,3,2,2,3,0,4768,9282,7,0,12,3,3,1,11,4,2,1,0,0,0
44,0,1112,2,1,4,0,1,0,50,2,2,1,3,2,5985,26894,4,0,11,3,2,0,10,1,4,2,2,0,2
29,0,350,2,13,3,5,1,1,56,2,1,1,1,1,2335,3157,4,1,15,3,4,3,4,3,3,2,2,2,0
20,0,500,0,2,3,2,3,0,49,2,1,1,3,2,2044,22052,1,0,13,3,4,0,2,3,2,2,2,0,2
35,1,200,1,18,2,0,3,1,60,3,3,3,4,2,9362,19944,2,0,11,3,3,0,10,2,3,2,2,2,2
29,0,1086,1,7,1,2,1,0,62,2,1,2,4,1,2532,6054,6,0,14,3,3,3,8,5,3,4,3,0,3
36,0,172,1,4,4,0,1,1,37,2,2,2,4,2,5810,22604,1,0,16,3,3,0,10,2,2,10,4,1,8
34,0,735,0,3,1,2,4,0,75,2,2,2,4,0,8103,16495,3,1,12,3,3,0,9,3,2,4,2,0,1
24,1,567,1,2,1,1,1,0,32,3,1,1,4,2,3760,17218,1,1,13,3,3,0,6,2,3,6,3,1,3
40,0,369,1,8,2,0,2,0,92,3,2,3,1,0,6516,5041,2,1,16,3,2,1,18,3,3,1,0,0,0
31,1,754,0,26,4,3,1,1,63,3,2,2,4,0,5617,21075,1,1,11,3,3,0,10,4,3,10,7,0,8
29,0,1283,1,23,3,0,4,1,54,3,1,2,4,2,2201,18168,9,0,16,3,4,0,6,4,3,3,2,1,2
25,0,810,0,8,3,0,4,1,57,4,2,2,2,0,4851,15678,0,0,22,4,3,1,4,4,3,3,2,1,2
20,0,727,0,9,1,0,4,1,54,3,1,1,1,2,2728,21082,1,0,11,3,1,0,2,3,3,2,2,0,2
42,0,201,1,1,4,0,2,0,95,3,1,2,1,1,2576,20490,3,0,16,3,2,1,8,5,3,5,2,1,2
29,0,694,1,1,3,0,4,0,87,2,4,0,4,1,16124,3423,3,0,14,3,2,2,9,2,2,7,7,1,7
37,0,1225,1,10,2,0,4,1,80,4,1,1,4,2,4680,15232,3,0,17,3,1,0,4,2,3,1,0,0,0
38,0,1380,1,9,2,0,3,0,75,3,1,2,4,2,2288,6319,1,0,12,3,3,0,2,3,3,2,2,2,1
56,0,1255,1,1,2,0,1,0,90,3,1,1,1,0,2066,10494,2,0,22,4,4,1,5,3,4,3,2,1,0
31,0,1154,0,2,2,0,1,1,54,3,1,1,3,0,3067,6393,0,0,19,3,3,1,3,1,3,2,2,1,2
34,0,204,0,14,3,1,3,0,31,3,1,1,3,1,2579,2912,1,1,18,3,4,2,8,3,3,8,2,0,6
43,1,1001,1,9,5,2,4,1,72,3,2,2,3,1,5679,19627,3,1,13,3,2,1,10,3,3,8,7,4,7
46,0,526,0,1,2,3,2,0,92,3,3,2,1,1,10453,2137,1,0,25,4,3,3,24,2,3,24,13,15,7
30,0,202,0,2,1,1,3,1,72,3,1,1,2,0,2476,17434,1,0,18,3,1,1,1,3,3,1,0,0,0
52,0,266,0,2,1,3,1,0,57,1,5,0,4,0,19845,25846,1,0,15,3,4,1,33,3,3,32,14,6,9
43,0,920,1,3,3,0,3,1,96,1,5,0,4,0,19740,18625,3,0,14,3,2,1,25,2,3,8,7,0,7
31,0,192,1,2,4,0,3,1,32,3,1,1,4,1,2695,7747,0,1,18,3,2,1,3,2,1,2,2,2,2
24,0,1206,1,17,1,2,4,0,41,2,2,3,3,1,4377,24117,1,0,15,3,2,2,5,6,3,4,2,3,2
38,1,888,2,10,4,5,3,1,71,3,2,1,3,0,6077,14814,3,0,11,3,3,0,10,2,3,6,3,1,2
53,0,1436,0,6,2,3,2,1,34,3,2,1,3,0,2306,16047,2,1,20,4,4,1,13,3,1,7,7,4,5
52,2,715,1,19,4,2,4,1,41,3,1,1,4,0,4258,26589,0,0,18,3,1,1,5,3,3,4,3,1,2
59,1,1225,0,1,1,0,1,0,57,2,2,2,3,2,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3
43,1,559,2,10,4,0,3,0,82,2,2,2,3,1,5257,6227,1,0,11,3,2,1,9,3,4,9,7,0,0
29,0,598,1,9,3,0,3,1,91,4,1,1,3,0,2451,22376,6,0,18,3,1,2,5,2,2,1,0,0,0
48,1,365,1,4,5,2,3,1,89,2,4,0,4,0,15202,5602,2,0,25,4,2,1,23,3,3,2,2,2,2
31,1,1060,0,1,3,0,4,0,54,3,1,1,2,2,2302,8319,1,1,11,3,1,0,3,2,4,3,2,2,2
53,0,447,1,2,3,2,4,1,39,4,4,0,2,2,16598,19764,4,0,12,3,2,0,35,2,2,9,8,8,8
23,1,638,0,9,3,3,4,1,33,3,1,1,1,0,1790,26956,1,0,19,3,1,1,1,3,2,1,0,1,0
30,0,853,1,7,4,0,3,1,49,3,2,2,3,1,3491,11309,1,0,13,3,1,3,10,4,2,10,7,8,9
42,1,555,0,26,3,3,3,0,77,3,4,2,2,0,13525,14864,5,0,14,3,4,1,23,2,4,20,4,4,8
40,0,750,2,12,3,0,2,0,47,3,2,2,1,1,4448,10748,2,0,12,3,2,1,15,3,3,7,4,7,7
35,0,622,1,14,4,4,3,1,39,2,1,2,2,1,3743,10074,1,1,24,4,4,1,5,2,1,4,2,0,2
36,0,913,1,9,2,2,2,1,48,2,2,3,2,1,8847,13934,2,1,11,3,3,1,13,2,3,3,2,0,2
54,0,821,1,5,2,2,1,1,86,3,5,0,1,0,19406,8509,4,0,11,3,3,1,24,4,2,4,2,1,2
